,date,channel,spend,impressions,clicks,conversions,revenue,Click Through Rate,Profit Per Ad,Conversion Rate,Return on Ad Spend,month
0,2024-01-01,Google Ads,230.52,12138,933,103,6066.65,0.0768660405338606,5836.129999999999,0.11039657020364416,26.317239285094566,2024-01
1,2024-01-01,Facebook Ads,325.39,2936,117,5,219.81,0.039850136239782015,-105.57999999999998,0.042735042735042736,0.6755278281446879,2024-01
2,2024-01-01,Instagram,214.28,2857,157,8,165.35,0.054952747637381866,-48.93000000000001,0.050955414012738856,0.7716539107709539,2024-01
3,2024-01-01,Email,189.68,2323,245,37,796.06,0.10546706844597503,606.3799999999999,0.1510204081632653,4.196857865879375,2024-01
4,2024-01-02,Google Ads,563.65,3731,285,35,1520.77,0.0763870276065398,957.12,0.12280701754385964,2.698075046571454,2024-01
5,2024-01-02,Facebook Ads,221.7,8379,301,10,282.95,0.03592314118629908,61.25,0.03322259136212625,1.2762742444745152,2024-01
6,2024-01-02,Instagram,330.59,6081,203,14,456.99,0.03338266732445321,126.40000000000003,0.06896551724137931,1.3823467134517078,2024-01
7,2024-01-02,Email,148.61,6814,801,114,3494.05,0.11755209862048724,3345.44,0.14232209737827714,23.511540273198303,2024-01
8,2024-01-03,Google Ads,272.18,11634,499,41,1710.48,0.042891524840983325,1438.3,0.08216432865731463,6.284370637078404,2024-01
9,2024-01-03,Facebook Ads,295.21,2018,86,5,181.09,0.04261645193260654,-114.11999999999998,0.05813953488372093,0.6134277294129603,2024-01
10,2024-01-03,Instagram,386.64,10877,529,28,1109.63,0.04863473384205204,722.9900000000001,0.052930056710775046,2.869930684874819,2024-01
11,2024-01-03,Email,194.75,14285,1414,245,12758.09,0.09898494924746237,12563.34,0.17326732673267325,65.51008985879332,2024-01
12,2024-01-04,Google Ads,323.49,8018,473,72,1212.75,0.058992267398353705,889.26,0.1522198731501057,3.748956691087823,2024-01
13,2024-01-04,Facebook Ads,263.55,5905,218,12,388.87,0.036917866215071975,125.32,0.05504587155963303,1.475507493834187,2024-01
14,2024-01-04,Instagram,338.92,8791,571,31,1685.3,0.06495279262882493,1346.3799999999999,0.0542907180385289,4.972559896140682,2024-01
15,2024-01-04,Email,170.07,14208,1393,159,7924.25,0.09804335585585586,7754.18,0.11414213926776741,46.594049509025695,2024-01
16,2024-01-05,Google Ads,258.86,10563,613,66,3342.34,0.05803275584587712,3083.48,0.10766721044045677,12.911766978289423,2024-01
17,2024-01-05,Facebook Ads,359.95,11466,521,48,497.14,0.045438688295831156,137.19,0.09213051823416507,1.3811362689262399,2024-01
18,2024-01-05,Instagram,238.94,2721,197,15,771.34,0.07239985299522235,532.4000000000001,0.07614213197969544,3.2281744370971794,2024-01
19,2024-01-05,Email,69.22,4995,456,71,1505.48,0.0912912912912913,1436.26,0.15570175438596492,21.74920543195608,2024-01
20,2024-01-06,Google Ads,267.81,12168,903,111,6522.03,0.07421104536489152,6254.219999999999,0.12292358803986711,24.353198162876666,2024-01
21,2024-01-06,Facebook Ads,209.19,13397,766,54,2822.43,0.05717697992087781,2613.24,0.07049608355091384,13.492184138821166,2024-01
22,2024-01-06,Instagram,299.49,12501,470,29,341.52,0.03759699224062075,42.02999999999997,0.06170212765957447,1.1403385755784834,2024-01
23,2024-01-06,Email,171.18,2581,258,36,1614.05,0.09996125532739249,1442.87,0.13953488372093023,9.428963663979436,2024-01
24,2024-01-07,Google Ads,253.83,6307,418,51,3041.02,0.06627556683050578,2787.19,0.12200956937799043,11.980538155458378,2024-01
25,2024-01-07,Facebook Ads,153.7,12798,502,48,2331.46,0.03922487888732615,2177.76,0.09561752988047809,15.168900455432663,2024-01
26,2024-01-07,Instagram,424.33,13344,584,9,499.82,0.043764988009592325,75.49000000000001,0.015410958904109588,1.1779039898192445,2024-01
27,2024-01-07,Email,150.88,2927,261,29,553.04,0.08916979842842501,402.15999999999997,0.1111111111111111,3.66542948038176,2024-01
