date,channel,spend,impressions,clicks,conversions,revenue
01/01/2024,Google Ads,230.52,12138,933,103,6066.65
01/01/2024,Facebook Ads,325.39,2936,117,5,219.81
01/01/2024,Instagram,214.28,2857,157,8,165.35
01/01/2024,Email,189.68,2323,245,37,796.06
02/01/2024,Google Ads,563.65,3731,285,35,1520.77
02/01/2024,Facebook Ads,221.7,8379,301,10,282.95
02/01/2024,Instagram,330.59,6081,203,14,456.99
02/01/2024,Email,148.61,6814,801,114,3494.05
03/01/2024,Google Ads,272.18,11634,499,41,1710.48
03/01/2024,Facebook Ads,295.21,2018,86,5,181.09
03/01/2024,Instagram,386.64,10877,529,28,1109.63
03/01/2024,Email,194.75,14285,1414,245,12758.09
04/01/2024,Google Ads,323.49,8018,473,72,1212.75
04/01/2024,Facebook Ads,263.55,5905,218,12,388.87
04/01/2024,Instagram,338.92,8791,571,31,1685.3
04/01/2024,Email,170.07,14208,1393,159,7924.25
05/01/2024,Google Ads,258.86,10563,613,66,3342.34
05/01/2024,Facebook Ads,359.95,11466,521,48,497.14
05/01/2024,Instagram,238.94,2721,197,15,771.34
05/01/2024,Email,69.22,4995,456,71,1505.48
06/01/2024,Google Ads,267.81,12168,903,111,6522.03
06/01/2024,Facebook Ads,209.19,13397,766,54,2822.43
06/01/2024,Instagram,299.49,12501,470,29,341.52
06/01/2024,Email,171.18,2581,258,36,1614.05
07/01/2024,Google Ads,253.83,6307,418,51,3041.02
07/01/2024,Facebook Ads,153.7,12798,502,48,2331.46
07/01/2024,Instagram,424.33,13344,584,9,499.82
07/01/2024,Email,150.88,2927,261,29,553.04
08/01/2024,Google Ads,414,6121,323,41,804.64
08/01/2024,Facebook Ads,282.43,4681,174,11,237.97
08/01/2024,Instagram,182.9,8523,409,30,1275.19
08/01/2024,Email,162.79,2801,236,38,1657.5
09/01/2024,Google Ads,462.58,3910,307,27,323.5
09/01/2024,Facebook Ads,436.56,10274,339,31,786.86
09/01/2024,Instagram,278.81,3194,156,12,386.89
09/01/2024,Email,152.74,12619,1094,178,8770.24
10/01/2024,Google Ads,530.91,9549,584,48,1989.24
10/01/2024,Facebook Ads,446.42,7476,319,20,510.49
10/01/2024,Instagram,262.79,7948,245,17,199.98
10/01/2024,Email,134.26,13623,1132,192,11378.11
11/01/2024,Google Ads,221.04,11524,525,48,2583.68
11/01/2024,Facebook Ads,461.15,10371,368,28,623.15
11/01/2024,Instagram,221.58,4080,228,12,218.99
11/01/2024,Email,70.23,14498,1363,205,11592.29
12/01/2024,Google Ads,738.85,8808,509,17,214.84
12/01/2024,Facebook Ads,481.95,3186,94,7,145.18
12/01/2024,Instagram,381.44,8106,395,19,702.1
12/01/2024,Email,173.47,9922,1105,158,8445.56
13/01/2024,Google Ads,487.05,3271,191,15,528.79
13/01/2024,Facebook Ads,233.24,10639,562,38,751.97
13/01/2024,Instagram,131.07,4755,228,15,819.73
13/01/2024,Email,55.85,12308,1173,152,8760.91
14/01/2024,Google Ads,694.46,11629,492,18,846.58
14/01/2024,Facebook Ads,329.39,12306,428,36,1859.29
14/01/2024,Instagram,342.34,8462,465,21,1058.31
14/01/2024,Email,194.73,5329,502,71,2624.89
15/01/2024,Google Ads,342.66,7983,337,38,1234.59
15/01/2024,Facebook Ads,212.65,10287,273,26,872.15
15/01/2024,Instagram,202.74,11260,515,41,2439.32
15/01/2024,Email,125.15,11293,1318,181,4296.96
16/01/2024,Google Ads,416.79,5141,356,41,2064.46
16/01/2024,Facebook Ads,273.1,6891,230,12,461.74
16/01/2024,Instagram,385.13,14893,615,29,997.2
16/01/2024,Email,148.51,3398,361,55,3066.8
17/01/2024,Google Ads,568.94,14490,737,71,2338.08
17/01/2024,Facebook Ads,361.78,6585,314,23,1175.7
17/01/2024,Instagram,174.6,6835,363,11,233
17/01/2024,Email,190.4,13032,1290,190,5821.12
18/01/2024,Google Ads,354.63,5270,256,27,1433.52
18/01/2024,Facebook Ads,293.86,11105,737,88,2496.36
