date,channel,spend,impressions,clicks,conversions,revenue
2024-01-01,Google Ads,230.52,12138,933,103,6066.65
2024-01-01,Facebook Ads,325.39,2936,117,5,219.81
2024-01-01,Instagram,214.28,2857,157,8,165.35
2024-01-01,Email,189.68,2323,245,37,796.06
2024-01-02,Google Ads,563.65,3731,285,35,1520.77
2024-01-02,Facebook Ads,221.7,8379,301,10,282.95
2024-01-02,Instagram,330.59,6081,203,14,456.99
2024-01-02,Email,148.61,6814,801,114,3494.05
2024-01-03,Google Ads,272.18,11634,499,41,1710.48
2024-01-03,Facebook Ads,295.21,2018,86,5,181.09
2024-01-03,Instagram,386.64,10877,529,28,1109.63
2024-01-03,Email,194.75,14285,1414,245,12758.09
2024-01-04,Google Ads,323.49,8018,473,72,1212.75
2024-01-04,Facebook Ads,263.55,5905,218,12,388.87
2024-01-04,Instagram,338.92,8791,571,31,1685.3
2024-01-04,Email,170.07,14208,1393,159,7924.25
2024-01-05,Google Ads,258.86,10563,613,66,3342.34
2024-01-05,Facebook Ads,359.95,11466,521,48,497.14
2024-01-05,Instagram,238.94,2721,197,15,771.34
2024-01-05,Email,69.22,4995,456,71,1505.48
2024-01-06,Google Ads,267.81,12168,903,111,6522.03
2024-01-06,Facebook Ads,209.19,13397,766,54,2822.43
2024-01-06,Instagram,299.49,12501,470,29,341.52
2024-01-06,Email,171.18,2581,258,36,1614.05
2024-01-07,Google Ads,253.83,6307,418,51,3041.02
2024-01-07,Facebook Ads,153.7,12798,502,48,2331.46
2024-01-07,Instagram,424.33,13344,584,9,499.82
2024-01-07,Email,150.88,2927,261,29,553.04
2024-01-08,Google Ads,414.0,6121,323,41,804.64
2024-01-08,Facebook Ads,282.43,4681,174,11,237.97
2024-01-08,Instagram,182.9,8523,409,30,1275.19
2024-01-08,Email,162.79,2801,236,38,1657.5
2024-01-09,Google Ads,462.58,3910,307,27,323.5
2024-01-09,Facebook Ads,436.56,10274,339,31,786.86
2024-01-09,Instagram,278.81,3194,156,12,386.89
2024-01-09,Email,152.74,12619,1094,178,8770.24
2024-01-10,Google Ads,530.91,9549,584,48,1989.24
2024-01-10,Facebook Ads,446.42,7476,319,20,510.49
2024-01-10,Instagram,262.79,7948,245,17,199.98
2024-01-10,Email,134.26,13623,1132,192,11378.11
2024-01-11,Google Ads,221.04,11524,525,48,2583.68
2024-01-11,Facebook Ads,461.15,10371,368,28,623.15
2024-01-11,Instagram,221.58,4080,228,12,218.99
2024-01-11,Email,70.23,14498,1363,205,11592.29
2024-01-12,Google Ads,738.85,8808,509,17,214.84
2024-01-12,Facebook Ads,481.95,3186,94,7,145.18
2024-01-12,Instagram,381.44,8106,395,19,702.1
2024-01-12,Email,173.47,9922,1105,158,8445.56
2024-01-13,Google Ads,487.05,3271,191,15,528.79
2024-01-13,Facebook Ads,233.24,10639,562,38,751.97
2024-01-13,Instagram,131.07,4755,228,15,819.73
2024-01-13,Email,55.85,12308,1173,152,8760.91
2024-01-14,Google Ads,694.46,11629,492,18,846.58
2024-01-14,Facebook Ads,329.39,12306,428,36,1859.29
2024-01-14,Instagram,342.34,8462,465,21,1058.31
2024-01-14,Email,194.73,5329,502,71,2624.89
2024-01-15,Google Ads,342.66,7983,337,38,1234.59
2024-01-15,Facebook Ads,212.65,10287,273,26,872.15
2024-01-15,Instagram,202.74,11260,515,41,2439.32
2024-01-15,Email,125.15,11293,1318,181,4296.96
2024-01-16,Google Ads,416.79,5141,356,41,2064.46
2024-01-16,Facebook Ads,273.1,6891,230,12,461.74
2024-01-16,Instagram,385.13,14893,615,29,997.2
2024-01-16,Email,148.51,3398,361,55,3066.8
2024-01-17,Google Ads,568.94,14490,737,71,2338.08
2024-01-17,Facebook Ads,361.78,6585,314,23,1175.7
2024-01-17,Instagram,174.6,6835,363,11,233.0
2024-01-17,Email,190.4,13032,1290,190,5821.12
2024-01-18,Google Ads,354.63,5270,256,27,1433.52
2024-01-18,Facebook Ads,293.86,11105,737,88,2496.36
2024-01-18,Instagram,395.65,12198,599,36,1267.69
2024-01-18,Email,63.34,7138,758,128,5750.7
2024-01-19,Google Ads,265.59,2280,121,12,696.53
2024-01-19,Facebook Ads,278.98,8065,369,17,786.48
2024-01-19,Instagram,346.2,3471,172,6,249.04
2024-01-19,Email,194.69,8310,907,135,1457.4
2024-01-20,Google Ads,251.63,6929,202,18,215.47
2024-01-20,Facebook Ads,274.88,14430,600,57,3230.1
2024-01-20,Instagram,212.72,3520,119,9,94.38
2024-01-20,Email,195.39,8978,1036,177,9969.87
2024-01-21,Google Ads,649.73,4945,303,7,150.22
2024-01-21,Facebook Ads,278.94,11749,550,39,1759.88
2024-01-21,Instagram,367.74,2959,123,3,166.63
2024-01-21,Email,68.58,5540,581,55,1237.39
2024-01-22,Google Ads,241.35,10564,516,58,2022.44
2024-01-22,Facebook Ads,252.25,3614,118,11,635.62
2024-01-22,Instagram,146.56,11167,621,41,679.6
2024-01-22,Email,178.96,5958,725,96,2138.46
2024-01-23,Google Ads,479.68,13136,927,59,1163.05
2024-01-23,Facebook Ads,405.33,14467,563,36,1786.81
2024-01-23,Instagram,243.14,8700,407,26,279.13
2024-01-23,Email,103.29,5798,621,106,1504.87
2024-01-24,Google Ads,519.14,13825,842,96,3830.43
2024-01-24,Facebook Ads,556.74,2909,82,2,103.19
2024-01-24,Instagram,197.24,10793,585,23,1031.81
2024-01-24,Email,181.3,7371,705,96,2830.49
